iter	Passed	Remaining
852	8218	1416
853	8228	1406
854	8237	1397
855	8246	1387
856	8256	1377
857	8265	1368
858	8275	1358
859	8284	1348
860	8292	1338
861	8302	1329
862	8311	1319
863	8321	1309
864	8330	1300
865	8339	1290
866	8348	1280
867	8358	1271
868	8367	1261
869	8376	1251
870	8384	1241
871	8393	1232
872	8402	1222
873	8412	1212
874	8421	1203
875	8432	1193
876	8441	1183
877	8451	1174
878	8460	1164
879	8470	1155
880	8480	1145
881	8488	1135
882	8498	1126
883	8507	1116
884	8516	1106
885	8525	1097
886	8535	1087
887	8544	1077
888	8553	1067
889	8562	1058
890	8572	1048
891	8582	1039
892	8592	1029
893	8601	1019
894	8610	1010
895	8620	1000
896	8630	990
897	8639	981
898	8649	971
899	8659	962
900	8668	952
901	8678	942
902	8687	933
903	8697	923
904	8707	914
905	8716	904
906	8725	894
907	8734	885
908	8743	875
909	8752	865
910	8761	856
911	8771	846
912	8780	836
913	8789	827
914	8798	817
915	8808	807
916	8817	798
917	8826	788
918	8836	778
919	8845	769
920	8855	759
921	8864	749
922	8873	740
923	8883	730
924	8893	721
925	8902	711
926	8912	701
927	8921	692
928	8930	682
929	8939	672
930	8949	663
931	8959	653
932	8968	644
933	8977	634
934	8987	624
935	8995	615
936	9005	605
937	9014	595
938	9024	586
939	9032	576
940	9042	566
941	9051	557
942	9061	547
943	9071	538
944	9081	528
945	9092	518
946	9101	509
947	9111	499
948	9121	490
949	9130	480
950	9140	470
951	9150	461
952	9158	451
953	9168	442
954	9177	432
955	9186	422
956	9196	413
957	9205	403
958	9215	393
959	9224	384
960	9234	374
961	9243	365
962	9252	355
963	9261	345
964	9271	336
965	9281	326
966	9290	317
967	9299	307
968	9308	297
969	9318	288
970	9328	278
971	9338	268
972	9347	259
973	9357	249
974	9366	240
975	9375	230
976	9385	220
977	9394	211
978	9404	201
979	9413	192
980	9424	182
981	9434	172
982	9445	163
983	9455	153
984	9464	144
985	9473	134
986	9482	124
987	9491	115
988	9501	105
989	9511	96
990	9520	86
991	9529	76
992	9538	67
993	9548	57
994	9557	48
995	9567	38
996	9576	28
997	9585	19
998	9595	9
999	9604	0
